cycle,SOH,capacity_Ah,temperature_C,R0_ohm,voltage_end_V,RUL,cell_id
69,0.95413,1.90826,25.525,0.16294,3.1786,98,B0006
70,0.95172,1.90344,26.434,0.16309,3.1766,97,B0006
71,0.95172,1.90343,25.387,0.16309,3.1758,96,B0006
72,0.95142,1.90284,23.995,0.16311,3.1745,95,B0006
73,0.9504,1.90081,24.899,0.16317,3.1752,94,B0006
74,0.9504,1.90079,23.706,0.16317,3.1757,93,B0006
75,0.94883,1.89767,23.862,0.16327,3.1743,92,B0006
76,0.94781,1.89563,23.82,0.16334,3.1739,91,B0006
77,0.94781,1.89563,22.957,0.16334,3.1741,90,B0006
78,0.94557,1.89115,23.011,0.16348,3.1716,89,B0006
79,0.94557,1.89115,22.7,0.16348,3.1736,88,B0006
80,0.94557,1.89115,22.895,0.16348,3.1738,87,B0006
81,0.94493,1.88987,22.594,0.16352,3.172,86,B0006
82,0.94442,1.88884,22.407,0.16356,3.1715,85,B0006
83,0.94308,1.88617,23.165,0.16364,3.1737,84,B0006
84,0.94287,1.88574,22.462,0.16366,3.1726,83,B0006
85,0.94213,1.88426,22.314,0.1637,3.1687,82,B0006
86,0.94213,1.88426,22.584,0.1637,3.171,81,B0006
87,0.94033,1.88067,22.935,0.16382,3.1691,80,B0006
88,0.93878,1.87756,22.703,0.16392,3.1685,79,B0006
89,0.93878,1.87756,21.508,0.16392,3.1687,78,B0006
90,0.93878,1.87756,22.362,0.16392,3.1694,77,B0006
91,0.93778,1.87555,22.577,0.16398,3.1688,76,B0006
92,0.93653,1.87306,22.793,0.16406,3.167,75,B0006
93,0.93622,1.87245,22.388,0.16408,3.167,74,B0006
94,0.93622,1.87245,22.667,0.16408,3.1661,73,B0006
95,0.93512,1.87024,22.381,0.16415,3.1675,72,B0006
96,0.93474,1.86948,22.852,0.16418,3.1676,71,B0006
97,0.93286,1.86572,22.681,0.1643,3.1673,70,B0006
98,0.93286,1.86572,24.14,0.1643,3.1674,69,B0006
99,0.93286,1.86572,23.49,0.1643,3.1665,68,B0006
100,0.93187,1.86374,23.534,0.16436,3.1655,67,B0006
101,0.93081,1.86162,24.398,0.16443,3.1675,66,B0006
102,0.93081,1.86162,24.551,0.16443,3.1645,65,B0006
103,0.93045,1.86091,24.393,0.16445,3.1639,64,B0006
104,0.92905,1.85809,25.152,0.16454,3.1641,63,B0006
105,0.92823,1.85646,24.862,0.16459,3.1643,62,B0006
106,0.92823,1.85646,25.624,0.16459,3.1655,61,B0006
107,0.92697,1.85393,25.528,0.16467,3.163,60,B0006
108,0.92648,1.85296,25.797,0.16471,3.1616,59,B0006
109,0.92648,1.85296,25.619,0.16471,3.164,58,B0006
110,0.92529,1.85059,25.567,0.16478,3.1622,57,B0006
111,0.92427,1.84854,26.092,0.16485,3.1611,56,B0006
112,0.92285,1.8457,25.21,0.16494,3.1605,55,B0006
113,0.92285,1.8457,26.688,0.16494,3.1616,54,B0006
114,0.92244,1.84487,25.737,0.16496,3.1595,53,B0006
115,0.92149,1.84298,26.94,0.16502,3.1622,52,B0006
116,0.92149,1.84298,26.146,0.16502,3.1606,51,B0006
117,0.91979,1.83959,25.642,0.16513,3.1599,50,B0006
118,0.91897,1.83794,25.24,0.16519,3.1605,49,B0006
119,0.91869,1.83737,25.629,0.1652,3.1586,48,B0006
120,0.91837,1.83675,25.407,0.16522,3.1592,47,B0006
121,0.91696,1.83391,25.179,0.16531,3.1584,46,B0006
122,0.91644,1.83287,25.156,0.16535,3.1587,45,B0006
123,0.91592,1.83184,24.558,0.16538,3.1604,44,B0006
124,0.91563,1.83127,24.823,0.1654,3.1567,43,B0006
125,0.91461,1.82923,23.616,0.16546,3.1572,42,B0006
126,0.91461,1.82923,23.648,0.16546,3.1594,41,B0006
127,0.9125,1.82499,23.812,0.1656,3.1553,40,B0006
128,0.9125,1.82499,22.874,0.1656,3.1579,39,B0006
129,0.91194,1.82388,23.058,0.16564,3.156,38,B0006
130,0.91179,1.82357,23.592,0.16565,3.1569,37,B0006
131,0.91179,1.82357,22.684,0.16565,3.1565,36,B0006
132,0.91016,1.82032,22.224,0.16575,3.1554,35,B0006
133,0.90961,1.81922,22.876,0.16578,3.1539,34,B0006
134,0.90925,1.8185,21.622,0.16581,3.1545,33,B0006
135,0.90749,1.81498,21.932,0.16592,3.1544,32,B0006
136,0.90749,1.81498,22.568,0.16592,3.1534,31,B0006
137,0.9072,1.8144,21.619,0.16594,3.1525,30,B0006
138,0.90605,1.81209,22.133,0.16601,3.152,29,B0006
139,0.90576,1.81152,22.001,0.16603,3.1543,28,B0006
140,0.90482,1.80964,22.882,0.16609,3.154,27,B0006
141,0.90369,1.80739,21.479,0.16616,3.1511,26,B0006
142,0.90274,1.80547,22.041,0.16622,3.1513,25,B0006
143,0.90274,1.80547,22.296,0.16622,3.1526,24,B0006
144,0.90274,1.80547,22.818,0.16622,3.1517,23,B0006
145,0.90096,1.80192,23.1,0.16634,3.1505,22,B0006
146,0.90086,1.80172,23.248,0.16635,3.151,21,B0006
147,0.89939,1.79878,23.973,0.16644,3.1486,20,B0006
148,0.89908,1.79816,23.839,0.16646,3.1489,19,B0006
149,0.89839,1.79678,23.109,0.1665,3.15,18,B0006
150,0.89739,1.79477,23.277,0.16657,3.1489,17,B0006
151,0.89724,1.79448,23.982,0.16658,3.1491,16,B0006
152,0.89709,1.79419,24.235,0.16659,3.1486,15,B0006
153,0.8962,1.7924,24.518,0.16664,3.1468,14,B0006
154,0.89498,1.78996,25.488,0.16672,3.1479,13,B0006
155,0.89498,1.78996,24.86,0.16672,3.1488,12,B0006
156,0.89399,1.78798,25.924,0.16678,3.1475,11,B0006
157,0.89399,1.78798,26.115,0.16678,3.1477,10,B0006
158,0.89187,1.78373,25.704,0.16692,3.145,9,B0006
159,0.89187,1.78373,25.549,0.16692,3.1457,8,B0006
160,0.89107,1.78215,26.546,0.16697,3.1451,7,B0006
161,0.88989,1.77978,25.542,0.16705,3.1444,6,B0006
162,0.88927,1.77854,26.236,0.16709,3.144,5,B0006
163,0.88927,1.77854,26.132,0.16709,3.1452,4,B0006
164,0.8889,1.77779,26.613,0.16711,3.145,3,B0006
165,0.88817,1.77634,26.082,0.16716,3.1449,2,B0006
166,0.88739,1.77478,25.82,0.16721,3.1455,1,B0006
167,0.88584,1.77168,26.216,0.16731,3.1431,0,B0006
