cycle,SOH,capacity_Ah,temperature_C,R0_ohm,voltage_end_V,RUL,cell_id
34,0.97223,1.94445,21.79,0.16178,3.1859,97,B0018
35,0.97184,1.94367,22.826,0.1618,3.1858,96,B0018
36,0.97158,1.94316,22.001,0.16182,3.186,95,B0018
37,0.97063,1.94126,21.896,0.16188,3.1854,94,B0018
38,0.97053,1.94105,21.758,0.16189,3.1851,93,B0018
39,0.9694,1.93881,22.261,0.16196,3.1851,92,B0018
40,0.96707,1.93414,21.651,0.16211,3.1835,91,B0018
41,0.96707,1.93414,22.638,0.16211,3.1837,90,B0018
42,0.96689,1.93378,21.994,0.16212,3.1835,89,B0018
43,0.96571,1.93143,22.389,0.16219,3.1823,88,B0018
44,0.96387,1.92774,23.275,0.16231,3.1811,87,B0018
45,0.96382,1.92764,23.566,0.16232,3.1818,86,B0018
46,0.96279,1.92558,23.15,0.16238,3.1808,85,B0018
47,0.96258,1.92517,22.996,0.16239,3.1824,84,B0018
48,0.96218,1.92435,23.523,0.16242,3.1815,83,B0018
49,0.96112,1.92224,24.163,0.16249,3.1791,82,B0018
50,0.95948,1.91896,24.079,0.16259,3.1803,81,B0018
51,0.95948,1.91896,24.53,0.16259,3.1795,80,B0018
52,0.9584,1.91681,25.106,0.16266,3.1796,79,B0018
53,0.9581,1.91619,23.829,0.16268,3.1785,78,B0018
54,0.95665,1.9133,25.005,0.16277,3.1785,77,B0018
55,0.9561,1.91219,25.24,0.16281,3.1783,76,B0018
56,0.95516,1.91033,25.105,0.16287,3.1763,75,B0018
57,0.95428,1.90856,25.805,0.16293,3.1778,74,B0018
58,0.95428,1.90856,25.281,0.16293,3.1765,73,B0018
59,0.95324,1.90647,25.615,0.16299,3.1756,72,B0018
60,0.9522,1.9044,25.729,0.16306,3.1758,71,B0018
61,0.9505,1.90099,26.907,0.16317,3.1755,70,B0018
62,0.95004,1.90008,25.431,0.1632,3.1734,69,B0018
63,0.94959,1.89919,25.929,0.16323,3.1764,68,B0018
64,0.94908,1.89815,26.471,0.16326,3.1754,67,B0018
65,0.94713,1.89425,26.21,0.16338,3.1729,66,B0018
66,0.94713,1.89425,25.175,0.16338,3.1736,65,B0018
67,0.94582,1.89164,25.729,0.16347,3.1745,64,B0018
68,0.94497,1.88994,24.614,0.16352,3.172,63,B0018
69,0.94497,1.88994,25.764,0.16352,3.1723,62,B0018
70,0.94367,1.88734,25.484,0.16361,3.1733,61,B0018
71,0.94334,1.88668,24.673,0.16363,3.1727,60,B0018
72,0.94287,1.88574,24.191,0.16366,3.1703,59,B0018
73,0.94187,1.88374,24.529,0.16372,3.1715,58,B0018
74,0.94022,1.88043,23.872,0.16383,3.171,57,B0018
75,0.93967,1.87933,23.483,0.16386,3.17,56,B0018
76,0.93885,1.8777,23.795,0.16391,3.1702,55,B0018
77,0.93855,1.8771,24.025,0.16393,3.1684,54,B0018
78,0.93772,1.87545,23.014,0.16399,3.1709,53,B0018
79,0.93731,1.87462,22.564,0.16401,3.1682,52,B0018
80,0.93621,1.87243,22.378,0.16408,3.1671,51,B0018
81,0.93564,1.87128,23.242,0.16412,3.1678,50,B0018
82,0.93426,1.86853,21.944,0.16421,3.1654,49,B0018
83,0.9334,1.8668,21.77,0.16426,3.1658,48,B0018
84,0.93199,1.86398,22.499,0.16435,3.1647,47,B0018
85,0.93163,1.86326,22.174,0.16438,3.1665,46,B0018
86,0.93032,1.86063,22.595,0.16446,3.1668,45,B0018
87,0.92995,1.8599,22.146,0.16448,3.1654,44,B0018
88,0.92995,1.8599,21.619,0.16448,3.1659,43,B0018
89,0.92889,1.85778,22.629,0.16455,3.1636,42,B0018
90,0.928,1.856,21.42,0.16461,3.1646,41,B0018
91,0.92712,1.85424,22.479,0.16466,3.1634,40,B0018
92,0.92612,1.85225,22.135,0.16473,3.1655,39,B0018
93,0.92553,1.85107,23.021,0.16477,3.1641,38,B0018
94,0.92529,1.85058,22.511,0.16478,3.1621,37,B0018
95,0.92345,1.8469,23.02,0.1649,3.1617,36,B0018
96,0.92285,1.8457,22.902,0.16494,3.1594,35,B0018
97,0.92191,1.84383,23.359,0.165,3.1619,34,B0018
98,0.9214,1.84281,23.736,0.16503,3.1626,33,B0018
99,0.9214,1.84281,23.525,0.16503,3.161,32,B0018
100,0.92092,1.84185,23.878,0.16506,3.1613,31,B0018
101,0.92018,1.84035,24.977,0.16511,3.1595,30,B0018
102,0.91773,1.83545,24.466,0.16527,3.1595,29,B0018
103,0.91688,1.83376,25.927,0.16532,3.1581,28,B0018
104,0.91688,1.83376,24.955,0.16532,3.1593,27,B0018
105,0.91552,1.83105,24.414,0.16541,3.1567,26,B0018
106,0.91534,1.83069,24.434,0.16542,3.1573,25,B0018
107,0.9137,1.82739,26.226,0.16552,3.1561,24,B0018
108,0.9137,1.82739,25.462,0.16552,3.1576,23,B0018
109,0.91273,1.82546,25.262,0.16559,3.1539,22,B0018
110,0.91179,1.82359,26.728,0.16565,3.1579,21,B0018
111,0.91179,1.82359,25.835,0.16565,3.1581,20,B0018
112,0.91049,1.82097,25.743,0.16573,3.1549,19,B0018
113,0.90906,1.81811,26.359,0.16582,3.1528,18,B0018
114,0.90833,1.81665,25.942,0.16587,3.1562,17,B0018
115,0.90833,1.81665,26.063,0.16587,3.1545,16,B0018
116,0.90671,1.81341,25.857,0.16597,3.1531,15,B0018
117,0.90671,1.81341,25.286,0.16597,3.1532,14,B0018
118,0.90497,1.80993,25.004,0.16608,3.1524,13,B0018
119,0.90486,1.80972,25.763,0.16609,3.1539,12,B0018
120,0.90336,1.80672,25.349,0.16619,3.1517,11,B0018
121,0.90336,1.80672,24.845,0.16619,3.1518,10,B0018
122,0.90294,1.80589,23.321,0.16621,3.152,9,B0018
123,0.90177,1.80355,24.122,0.16629,3.1512,8,B0018
124,0.9006,1.80119,24.162,0.16636,3.1492,7,B0018
125,0.8996,1.79921,24.6,0.16643,3.1501,6,B0018
126,0.89902,1.79804,23.967,0.16646,3.1483,5,B0018
127,0.89767,1.79534,24.379,0.16655,3.1496,4,B0018
128,0.89712,1.79423,22.19,0.16658,3.1478,3,B0018
129,0.89712,1.79423,22.64,0.16658,3.1485,2,B0018
130,0.89566,1.79133,22.903,0.16668,3.1483,1,B0018
131,0.89512,1.79024,21.924,0.16671,3.1455,0,B0018
