cycle,SOH,capacity_Ah,temperature_C,R0_ohm,voltage_end_V,RUL,cell_id
53,0.96018,1.92036,25.21,0.16255,3.1815,114,B0007
54,0.95915,1.9183,24.698,0.16261,3.1805,113,B0007
55,0.95895,1.9179,24.498,0.16263,3.1793,112,B0007
56,0.95814,1.91628,25.481,0.16268,3.1798,111,B0007
57,0.95617,1.91234,26.016,0.16281,3.1777,110,B0007
58,0.95617,1.91234,26.049,0.16281,3.1772,109,B0007
59,0.95545,1.91089,26.193,0.16285,3.1762,108,B0007
60,0.95545,1.91089,26.007,0.16285,3.1772,107,B0007
61,0.95469,1.90938,26.316,0.1629,3.1779,106,B0007
62,0.95398,1.90796,25.575,0.16295,3.1777,105,B0007
63,0.95157,1.90315,25.916,0.1631,3.1758,104,B0007
64,0.95157,1.90315,25.177,0.1631,3.1764,103,B0007
65,0.95128,1.90257,25.866,0.16312,3.1751,102,B0007
66,0.94985,1.8997,25.645,0.16321,3.1766,101,B0007
67,0.94985,1.8997,25.706,0.16321,3.1751,100,B0007
68,0.94965,1.8993,26.054,0.16322,3.1745,99,B0007
69,0.94748,1.89496,25.392,0.16336,3.1744,98,B0007
70,0.94748,1.89496,23.712,0.16336,3.1736,97,B0007
71,0.9466,1.89321,25.641,0.16342,3.1737,96,B0007
72,0.94573,1.89147,24.804,0.16347,3.1744,95,B0007
73,0.94506,1.89011,24.877,0.16352,3.1717,94,B0007
74,0.94411,1.88821,23.845,0.16358,3.1718,93,B0007
75,0.94386,1.88772,24.405,0.16359,3.1718,92,B0007
76,0.94313,1.88627,24.508,0.16364,3.1717,91,B0007
77,0.94277,1.88554,22.684,0.16366,3.1733,90,B0007
78,0.9422,1.88439,23.87,0.1637,3.1721,89,B0007
79,0.9406,1.88121,22.559,0.1638,3.1717,88,B0007
80,0.94054,1.88107,22.43,0.16381,3.1677,87,B0007
81,0.93869,1.87739,22.623,0.16392,3.1699,86,B0007
82,0.93869,1.87739,23.495,0.16392,3.1697,85,B0007
83,0.93722,1.87445,21.397,0.16402,3.1692,84,B0007
84,0.93674,1.87347,21.861,0.16405,3.1685,83,B0007
85,0.93655,1.87311,22.11,0.16406,3.1677,82,B0007
86,0.93515,1.8703,22.353,0.16415,3.1684,81,B0007
87,0.935,1.87,21.938,0.16416,3.1674,80,B0007
88,0.9333,1.8666,22.21,0.16427,3.1667,79,B0007
89,0.93291,1.86582,21.507,0.16429,3.1659,78,B0007
90,0.93277,1.86553,22.476,0.1643,3.1662,77,B0007
91,0.93249,1.86498,22.71,0.16432,3.1668,76,B0007
92,0.93044,1.86089,21.75,0.16445,3.1661,75,B0007
93,0.93044,1.86089,22.055,0.16445,3.1652,74,B0007
94,0.92963,1.85927,22.821,0.1645,3.165,73,B0007
95,0.92963,1.85927,22.983,0.1645,3.1647,72,B0007
96,0.92786,1.85572,23.294,0.16462,3.1649,71,B0007
97,0.92701,1.85402,22.642,0.16467,3.1631,70,B0007
98,0.92666,1.85333,23.297,0.16469,3.1631,69,B0007
99,0.92523,1.85046,23.495,0.16479,3.1628,68,B0007
100,0.92507,1.85013,24.674,0.1648,3.1622,67,B0007
101,0.92422,1.84845,24.196,0.16485,3.1625,66,B0007
102,0.92415,1.8483,24.236,0.16485,3.1638,65,B0007
103,0.92292,1.84584,24.273,0.16493,3.1615,64,B0007
104,0.9214,1.84279,24.957,0.16503,3.1622,63,B0007
105,0.92062,1.84124,25.768,0.16508,3.1613,62,B0007
106,0.92004,1.84008,24.581,0.16512,3.1603,61,B0007
107,0.91875,1.8375,25.592,0.1652,3.1601,60,B0007
108,0.91796,1.83592,25.938,0.16525,3.1605,59,B0007
109,0.91796,1.83592,26.805,0.16525,3.1582,58,B0007
110,0.9171,1.8342,26.238,0.16531,3.1593,57,B0007
111,0.9171,1.8342,26.64,0.16531,3.1599,56,B0007
112,0.91564,1.83129,26.012,0.1654,3.1572,55,B0007
113,0.91506,1.83011,25.289,0.16544,3.159,54,B0007
114,0.91367,1.82734,25.241,0.16553,3.1576,53,B0007
115,0.91367,1.82734,25.532,0.16553,3.1561,52,B0007
116,0.91281,1.82563,25.871,0.16558,3.1569,51,B0007
117,0.91281,1.82563,25.536,0.16558,3.1551,50,B0007
118,0.91116,1.82232,25.298,0.16569,3.1544,49,B0007
119,0.91116,1.82232,26.274,0.16569,3.1541,48,B0007
120,0.91073,1.82147,23.961,0.16571,3.1557,47,B0007
121,0.90852,1.81704,24.427,0.16585,3.1539,46,B0007
122,0.90852,1.81704,25.935,0.16585,3.1536,45,B0007
123,0.90725,1.8145,24.645,0.16594,3.1531,44,B0007
124,0.90644,1.81288,23.904,0.16599,3.1532,43,B0007
125,0.90631,1.81262,23.426,0.166,3.1529,42,B0007
126,0.9059,1.8118,24.148,0.16602,3.1525,41,B0007
127,0.90542,1.81083,23.847,0.16605,3.1529,40,B0007
128,0.90384,1.80767,23.665,0.16615,3.151,39,B0007
129,0.90374,1.80748,22.375,0.16616,3.1514,38,B0007
130,0.90278,1.80556,22.884,0.16622,3.1526,37,B0007
131,0.90175,1.80349,22.512,0.16629,3.1513,36,B0007
132,0.90054,1.80107,22.674,0.16637,3.1485,35,B0007
133,0.90027,1.80054,21.488,0.16638,3.1517,34,B0007
134,0.90027,1.80054,22.482,0.16638,3.1493,33,B0007
135,0.89829,1.79658,22.864,0.16651,3.1508,32,B0007
136,0.89792,1.79583,21.336,0.16653,3.1491,31,B0007
137,0.89681,1.79362,22.438,0.1666,3.1494,30,B0007
138,0.89681,1.79362,22.842,0.1666,3.1467,29,B0007
139,0.89664,1.79328,22.476,0.16662,3.1476,28,B0007
140,0.89566,1.79132,22.067,0.16668,3.1472,27,B0007
141,0.89523,1.79045,22.25,0.16671,3.1471,26,B0007
142,0.89346,1.78692,22.038,0.16682,3.146,25,B0007
143,0.89346,1.78692,22.566,0.16682,3.1461,24,B0007
144,0.89159,1.78318,22.101,0.16694,3.1457,23,B0007
145,0.89159,1.78318,22.848,0.16694,3.1452,22,B0007
146,0.89123,1.78247,22.607,0.16696,3.1455,21,B0007
147,0.88944,1.77888,22.526,0.16708,3.1451,20,B0007
148,0.88944,1.77888,24.258,0.16708,3.1429,19,B0007
149,0.88771,1.77542,22.808,0.16719,3.1436,18,B0007
150,0.8868,1.7736,24.9,0.16724,3.1424,17,B0007
151,0.88606,1.77211,23.146,0.16729,3.1429,16,B0007
152,0.88545,1.7709,24.969,0.16733,3.1433,15,B0007
153,0.88468,1.76936,24.829,0.16738,3.1409,14,B0007
154,0.88444,1.76888,24.143,0.1674,3.1418,13,B0007
155,0.88444,1.76888,24.917,0.1674,3.1431,12,B0007
156,0.88287,1.76573,24.851,0.1675,3.1425,11,B0007
157,0.88182,1.76364,25.057,0.16756,3.1404,10,B0007
158,0.88182,1.76364,26.133,0.16756,3.1418,9,B0007
159,0.88062,1.76124,25.212,0.16764,3.1406,8,B0007
160,0.88004,1.76007,24.926,0.16768,3.1401,7,B0007
161,0.87944,1.75888,26.528,0.16772,3.1392,6,B0007
162,0.87871,1.75742,26.192,0.16776,3.1396,5,B0007
163,0.8774,1.7548,25.995,0.16785,3.1394,4,B0007
164,0.87687,1.75374,25.819,0.16788,3.1378,3,B0007
165,0.8767,1.75341,26.253,0.16789,3.1388,2,B0007
166,0.8753,1.75061,25.997,0.16798,3.1365,1,B0007
167,0.87462,1.74924,25.629,0.16802,3.1361,0,B0007
