cycle,SOH,capacity_Ah,temperature_C,R0_ohm,voltage_end_V,RUL,cell_id
148,0.89397,1.78795,23.536,0.16679,3.1469,19,B0005
149,0.8928,1.7856,23.401,0.16686,3.1462,18,B0005
150,0.89192,1.78384,24.495,0.16692,3.1452,17,B0005
151,0.89076,1.78152,23.662,0.16699,3.1458,16,B0005
152,0.88972,1.77945,24.889,0.16706,3.144,15,B0005
153,0.8896,1.77919,24.641,0.16707,3.1455,14,B0005
154,0.88909,1.77819,25.549,0.1671,3.1456,13,B0005
155,0.88909,1.77819,25.551,0.1671,3.1449,12,B0005
156,0.88775,1.77549,26.279,0.16718,3.1436,11,B0005
157,0.88745,1.7749,25.906,0.1672,3.1442,10,B0005
158,0.88599,1.77198,24.903,0.1673,3.1427,9,B0005
159,0.88493,1.76986,25.776,0.16736,3.1434,8,B0005
160,0.88432,1.76863,25.316,0.1674,3.1403,7,B0005
161,0.88372,1.76743,25.705,0.16744,3.1415,6,B0005
162,0.88372,1.76743,26.752,0.16744,3.1399,5,B0005
163,0.88223,1.76446,26.315,0.16754,3.1396,4,B0005
164,0.88223,1.76446,25.615,0.16754,3.1425,3,B0005
165,0.88075,1.7615,25.395,0.16763,3.1413,2,B0005
166,0.88075,1.7615,25.826,0.16763,3.1397,1,B0005
167,0.87995,1.7599,25.08,0.16768,3.1385,0,B0005
